code,name
2032c-il.dat,20-32C AIRFOIL
a18-il.dat,A18 (original)
a18sm-il.dat,A18 (smoothed)
a63a108c-il.dat,NASA/AMES 63A108 MOD C AIRFOIL
ag03-il.dat,AG03 (flat aft bottom)
ag04-il.dat,AG04
ag08-il.dat,AG08
ag09-il.dat,AG09
ag10-il.dat,AG10
ag11-il.dat,AG11
ag12-il.dat,AG12
ag13-il.dat,AG13
ag14-il.dat,AG14
ag16-il.dat,AG16
ag17-il.dat,AG17
ag18-il.dat,AG18
ag19-il.dat,AG19
ag24-il.dat,AG24 Bubble Dancer DLG by Mark Drela
ag25-il.dat,AG25 Bubble Dancer DLG by Mark Drela
ag26-il.dat,AG26 Bubble Dancer DLG by Mark Drela
ag27-il.dat,AG27 Bubble Dancer DLG by Mark Drela
ag35-il.dat,AG35
ag36-il.dat,AG36
ag37-il.dat,AG37
ag38-il.dat,AG38
ag44ct02r-il.dat,AG44ct -02f
ag455ct02r-il.dat,AG455ct -02f rot.
ag45c03-il.dat,AG45c -03f
ag45ct02r-il.dat,AG45ct -02f
ag46c03-il.dat,AG46c -03f
ag46ct02r-il.dat,AG46ct  -02f rot.
ag47c03-il.dat,AG47c -03f
ag47ct02r-il.dat,AG47ct  -02f rot.
ah21-7-il.dat,AH21 7% version (Andrew Hollom)
ah21-9-il.dat,AH21 9% version (Andrew Hollom)
ah63k127-il.dat,AH 63-K-127/24
ah6407-il.dat,AH-6-40-7 AIRFOIL
ah7476-il.dat,AH-7-47-6 AIRFOIL
ah79100a-il.dat,AH 79-100 A AIRFOIL
ah79100b-il.dat,AH 79-100 B AIRFOIL
ah79100c-il.dat,AH 79-100 C AIRFOIL
ah79k132-il.dat,AH 79-K-132/20
ah79k135-il.dat,AH 79-K-135/20 B
ah79k143-il.dat,AH 79-K-143/18
ah80129-il.dat,AH 80-129
ah80136-il.dat,AH 80-136
ah80140-il.dat,AH 80-140
ah81131-il.dat,AH 81-131
ah81k144-il.dat,AH 81-K-144/17
ah81k144wfklappe-il.dat,AH 81-K-144 W-F KLAPPE
ah82150a-il.dat,AH 82-150 A
ah82150f-il.dat,AH 82-150 F
ah83150q-il.dat,AH 83-150 Q
ah83159-il.dat,AH 83-159
ah85l120-il.dat,AH 85-L-120/17
ah88k130-il.dat,AH 88-K-130/20
ah88k136-il.dat,AH 88-K-136/16
ah93156-il.dat,AH 93-156
ah93157-il.dat,AH 93-157
ah93k130-il.dat,AH 93-K-130/15
ah93k131-il.dat,AH 93-K-131/15
ah93k132-il.dat,AH 93-K-132/15
ah93w145-il.dat,AH 93-W-145
ah93w174-il.dat,AH 93-W-174
ah93w215-il.dat,AH 93-W-215
ah93w257-il.dat,AH 93-W-257
ah93w300-il.dat,AH 93-W-300
ah93w480b-il.dat,AH 93-W-480B
ah94145-il.dat,AH 94-145
ah94156-il.dat,AH 94-156
ah94w301-il.dat,AH 94-W-301
ah95160-il.dat,AH 95-160
ames01-il.dat,NASA/AMES A-01 AIRFOIL
ames02-il.dat,NASA/AMES A-02 AIRFOIL
ames03-il.dat,NASA/AMES A-03 AIRFOIL
amsoil1-il.dat,RUTAN CANARD AIRFOIL
amsoil2-il.dat,RUTAN WING AIRFOIL
apex16-il.dat,Apex 16 (normalized using XFOIL date021206)
aquilasm-il.dat,AQUILA 9.3% smoothed
arad10-il.dat,ARA-D 10% AIRFOIL
arad13-il.dat,ARA-D 13% AIRFOIL
arad20-il.dat,ARA-D 20% AIRFOIL
arad6-il.dat,ARA-D 6% AIRFOIL
as5045-il.dat,AS5045 (15%)
as5046-il.dat,AS5046 (16%)
as5048-il.dat,AS5048 (18%)
atr72sm-il.dat,Smoothed ATR airfoil coordinates obtained  using AFSMO (Harry Morgan's NASA smoothing program)
august160-il.dat,AUGUST 160
avistar-il.dat,AVISTAR
b29root-il.dat,B-29 ROOT AIRFOIL
b29tip-il.dat,B-29 TIP AIRFOIL
